Transaction Description,Category
Olive Garden East Danielle TN,Restaurant
Sallie Mae LOAN PAYMENT 880,Student Loan
Starbucks Carlsonmouth DC,Coffee
Aqua America WATER BILL 743,Utilities Water
Aqua America WATER BILL 646,Utilities Water
MasterCard E-PAYMENT 5597,Credit Card
MasterCard E-PAYMENT 3204,Credit Card
VERIZON WIRELESS 2579 (2023-08-30) 001-692-502-7161 MH 12179178,Mobile Phone
Con Edison ELECTRIC BILL 726 ELECTRIC,Utilities Electric
Target #1587 SPENCERBURGH UT 712,Misc
Whole Foods Brownmouth GA,Groceries
Nelnet LOAN PAYMENT 708,Student Loan
Shell FUEL West Shawn OH,Gas
VERIZON FIOS 7115 (2002-02-02) 001-860-517-9227x15328 DE 643,Home Internet
T-MOBILE 8910 (1980-01-12) 507.893.0580 AL 75820488,Mobile Phone
Taco Bell Bryanburgh KY,Restaurant
LOWE'S #5906 HODGESMOUTH PR 710,Misc
Taco Bell Ryanfurt PR,Restaurant
VERIZON WIRELESS 8896 (2009-12-10) 688.466.0897x59353 FM 91265694,Mobile Phone
VERIZON FIOS 3294 (1993-12-22) 001-432-734-2275x82887 WY 532,Home Internet
BP FUEL Port Joseph NV,Gas
Starbucks Woodland NE,Coffee
Netflix SUB 4844,Subscription
Whole Foods Greenview VI,Groceries
Shell FUEL Davisside ME,Gas
AMEX E-PAYMENT 1420,Credit Card
Olive Garden Adamtown TX,Restaurant
Essex Property Trust RENT PAYMENT Scottburgh MI,Rent - Mortgage
Disney+ SUB 4726,Subscription
MasterCard E-PAYMENT 3256,Credit Card
HELLO MOBILE 7085 (1981-07-14) 304-753-0380 GA 33185124,Mobile Phone
Dunkin East Christopherland CT,Coffee
Amazon Prime SUB 4940,Subscription
ATT BILL PAYMENT 1616 (1975-06-03) 838.564.2222x77605 PW 210,Home Internet
Exxon FUEL Suttonfort OH,Gas
LOWE'S #3072 ALLENFURT MS 776,Misc
T-MOBILE 5396 (2003-02-24) 792.852.2641 MT 67203248,Mobile Phone
Nelnet LOAN PAYMENT 702,Student Loan
Chevron FUEL Lake Lori MN,Gas
American Water WATER BILL 411,Utilities Water
VERIZON FIOS 3825 (1976-12-27) 342-794-5269x0683 IA 297,Home Internet
VERIZON WIRELESS 9210 (2023-09-13) 662.614.6592x77907 IL 23925352,Mobile Phone
AMEX E-PAYMENT 8045,Credit Card
Walmart Supercenter Bridgetchester OR,Groceries
AvalonBay RENT PAYMENT Padillaburgh NJ,Rent - Mortgage
American Water WATER BILL 565,Utilities Water
Best Buy #3678 MOOREPORT OH 820,Misc
AvalonBay RENT PAYMENT East Michael PR,Rent - Mortgage
ATT BILL PAYMENT 5096 (1976-10-12) 001-899-859-3669x97220 NJ 870,Home Internet
Home Depot #4716 WEST RONNIE MI 286,Misc
Nelnet LOAN PAYMENT 496,Student Loan
Dunkin Catherineberg MN,Coffee
Chevron FUEL New Crystalstad NM,Gas
MasterCard E-PAYMENT 5220,Credit Card
Equity Residential RENT PAYMENT North Margaret LA,Rent - Mortgage
Con Edison ELECTRIC BILL 568 ELECTRIC,Utilities Electric
BP FUEL Port Jasonview CT,Gas
Duke Energy ELECTRIC BILL 739 ELECTRIC,Utilities Electric
Netflix SUB 2459,Subscription
Whole Foods Christianburgh NC,Groceries
Florida Power & Light ELECTRIC BILL 982 ELECTRIC,Utilities Electric
Kroger Tylerchester NJ,Groceries
Spotify SUB 3021,Subscription
T-MOBILE 8074 (1970-01-21) 001-468-716-9132x78801 PW 53845786,Mobile Phone
Nelnet LOAN PAYMENT 400,Student Loan
American Water WATER BILL 467,Utilities Water
Shell FUEL South Paul IN,Gas
Walmart Supercenter Melindastad KS,Groceries
Walmart Supercenter Rogersfurt MO,Groceries
Essex Property Trust RENT PAYMENT Williamsside NH,Rent - Mortgage
MasterCard E-PAYMENT 2576,Credit Card
Home Depot #5810 MILLERTON UT 283,Misc
Con Edison ELECTRIC BILL 809 ELECTRIC,Utilities Electric
Hulu SUB 4137,Subscription
VERIZON FIOS 1033 (2017-02-28) 912.717.9601 PW 650,Home Internet
Dunkin Angelaburgh VI,Coffee
Chevron FUEL East Nathanside SD,Gas
AMEX E-PAYMENT 7115,Credit Card
Amazon Prime SUB 3532,Subscription
MasterCard E-PAYMENT 4882,Credit Card
